cluster_key,accept_name,accept_tx_kev,accept_lbol_1e44,accept_obsid,accept_exp_ks,accept_z,notes
Abell_0068,ABELL 68,7.99,12.80,3250,10.0,0.2546,Single ObsID 10ks
Abell_0209,ABELL 209,8.28,11.00,"3579;522","10.0;10.0",0.2060,Two ObsIDs 10ks each
Abell_0267,ABELL 267,6.79,8.70,"1448;3580","7.9;19.9",0.2300,Two ObsIDs
Abell_0383,ABELL 383,3.93,5.39,2321,19.5,0.1871,Cool-core cluster
Abell_0586,ABELL 586,8.70,8.61,530,10.0,0.1710,Single ObsID 10ks
Abell_0611,ABELL 611,6.69,10.90,3194,36.1,0.2880,Single ObsID 36ks
Abell_0697,ABELL 697,9.06,26.30,4217,19.5,0.2820,Hot massive cluster
Abell_0750,N/A,N/A,N/A,N/A,N/A,N/A,Not in ACCEPT database
Abell_2261,ABELL 2261,7.58,17.60,5007,24.3,0.2240,
MACSJ0329_7_0211,MACS J0329.6-0211,6.85,13.00,"3257;3582;6108","9.9;19.9;39.6",0.4500,Three ObsIDs
MACSJ0429_6_0253,MACS J0429.6-0253,6.76,11.70,3271,23.2,0.3990,Single ObsID 23ks
MACSJ0647_7_7015,RX J0647.7+7015,9.07,26.70,"3196;3584","19.3;20.0",0.5840,Two ObsIDs
MACSJ0744_9_3927,MACS J0744.8+3927,11.29,24.90,"3197;3585;6111","20.2;19.9;49.5",0.6860,Three ObsIDs
MACSJ1115_9_0129,MACS J1115.8+0129,9.26,1.49,"3275;9375","15.9;39.6",0.3521,Two ObsIDs
MACSJ1206_2_0847,MACS J1206.2-0847,7.88,37.30,3277,23.5,0.4400,Single ObsID 23ks
MACSJ1720_3_3536,RX J1720.2+3536,5.65,13.10,"3280;6107;7225","20.8;33.9;2.0",0.3913,Three ObsIDs
MACSJ1931_8_2635,MACS J1931.8-2634,7.50,23.40,3282,13.6,0.3520,Single ObsID 14ks
MS2137_2353,MS 2137.3-2353,6.30,11.40,4974,57.4,0.3130,Single ObsID 57ks
RXJ1347_5_1145,RX J1347.5-1145,10.88,101.00,"3592;507","57.7;10.0",0.4510,Two ObsIDs; brightest in ACCEPT
RXJ1532_9_3021,RX J1532.9+3021,5.44,21.00,"1649;1665","9.4;10.0",0.3450,Two ObsIDs
RXJ2129_7_0005,RX J2129.6+0005,6.10,12.70,552,10.0,0.2350,Single ObsID 10ks
RXJ2248_7_4431,ABELL 1063S,11.10,71.50,4966,26.7,0.3540,Also known as AS1063
ZwCl_0857_9_2107,ZwCl 0857.9+2107,12.10,0,7897,9.0,0.2350,Single ObsID 9ks; ACCEPT Lbol=0 means below threshold
