aperture,sample,relation,n_clusters,beta,beta_err_lo,beta_err_hi,intrinsic_scatter_dex,scatter_err_lo,scatter_err_hi,observed_rms_dex,gamma,self_similar_beta,self_similar_gamma,error_note
full_R500,exclude_bad,Lx-M500,18,1.0844017167425233,0.4904863189517187,0.5310363626525281,0.16925113848816353,0.04183544757158272,0.053702932464796155,0.19748538949189395,2.0,1.3333333333333333,2.0,
full_R500,exclude_bad,Tx-M500,18,0.4781131525074744,0.2459474584695308,0.2616804610467393,0.1165084744760786,0.026806624200496093,0.031014069003036437,0.1119716564949412,0.6666666666666666,0.6666666666666666,0.6666666666666666,
full_R500,exclude_bad,Lx-Tx,18,0.7591873067122417,0.4149781726297794,0.4266066765837717,0.22662963790023904,0.039278534305329404,0.04491399098946275,0.1973686472294254,1.0,2.0,1.0,
full_R500,good_only,Lx-M500,11,0.5452747229482431,0.6773124902073704,0.6842058417372057,0.22320652267446073,0.05810503100881115,0.08920982621485973,0.18837405354859582,2.0,1.3333333333333333,2.0,
full_R500,good_only,Tx-M500,11,0.44434396235441775,0.17287660510620806,0.20226573737606768,0.06407912608546243,0.024610457215103396,0.03266453096596032,0.06026925662926459,0.6666666666666666,0.6666666666666666,0.6666666666666666,
full_R500,good_only,Lx-Tx,11,1.2329137336931972,0.9593731414259006,0.8510164021487818,0.22816003322227973,0.04904652157063652,0.07618629366271473,0.17816055792302904,1.0,2.0,1.0,
core_excised_0.15_1.0R500,exclude_bad,Lx-M500,18,1.1627904043319455,0.4869690851355869,0.53398918766227,0.19215149974712542,0.047941028760915716,0.05468474042611837,0.20380734111411472,2.0,1.3333333333333333,2.0,
core_excised_0.15_1.0R500,exclude_bad,Tx-M500,18,0.5641286602807075,0.3055273931060716,0.2950005637505879,0.13436992519434524,0.03035775751705573,0.03897561764425267,0.14640974439678398,0.6666666666666666,0.6666666666666666,0.6666666666666666,
core_excised_0.15_1.0R500,exclude_bad,Lx-Tx,18,0.9025168980915281,0.42683941463786623,0.45900317026457715,0.2296211504580983,0.03773118132013978,0.05672463843997613,0.2142239964426277,1.0,2.0,1.0,
core_excised_0.15_1.0R500,good_only,Lx-M500,6,2.581632848629594,5.468776735608316,8.482084506695026,0.3921748174370092,0.18709800892773426,0.4160168071836894,0.18568818629941658,2.0,1.3333333333333333,2.0,
core_excised_0.15_1.0R500,good_only,Tx-M500,6,0.5487753608125108,2.5403874272633513,2.3822303649438155,0.15698095044773885,0.08047526907680586,0.1913609818358747,0.0839236231271912,0.6666666666666666,0.6666666666666666,0.6666666666666666,
core_excised_0.15_1.0R500,good_only,Lx-Tx,6,2.683399356652336,1.6006452698747147,1.5301266678583603,0.28761482250505555,0.14337267701549936,0.2504610797101109,0.1688673155823863,1.0,2.0,1.0,
