left_out_cluster,relation,n_clusters,beta,beta_err_lo,beta_err_hi,delta_beta_vs_exclude_bad,intrinsic_scatter_dex,scatter_err_lo,scatter_err_hi,delta_scatter_vs_exclude_bad,y_error_fallback_clusters
Abell_0068,Lx-M500,17,1.055728189470897,0.49874283948970466,0.5135364865619512,-0.02867352727162631,0.1768598175998885,0.03985917899276312,0.06081214216372183,0.00760867911172497,
Abell_0068,Tx-M500,17,0.5494601632541682,0.2475715444778287,0.2639357990430802,0.07134701074669386,0.10809718571563715,0.0250981622892696,0.030944955723437195,-0.008411288760441449,
Abell_0068,Lx-Tx,17,0.8635180856152574,0.44516941817134764,0.4294562546981414,0.10433077890301579,0.2261890625252107,0.04202027429392799,0.05362416153534688,-0.0004405753750283403,
Abell_0611,Lx-M500,17,1.0589444444361789,0.4713332976422959,0.4185865923976102,-0.025457272306344425,0.17130556726731094,0.04182813420210538,0.05436973301126674,0.0020544287791474103,
Abell_0611,Tx-M500,17,0.45128471161743644,0.23195103328303227,0.23378611499603907,-0.02682844089003794,0.11161832453477516,0.025068010189144993,0.02993974012726447,-0.004890149941303434,
Abell_0611,Lx-Tx,17,0.9928874050875899,0.4287285154702618,0.4750325475852958,0.23370009837534822,0.21806921630839374,0.03811468716634983,0.05470706952703583,-0.008560421591845307,
MACSJ0647.7+7015,Lx-M500,17,1.1049426508720264,0.5010911147295506,0.45956454024280236,0.020540934129503086,0.1696590809975198,0.04439570049617797,0.05623792773308636,0.00040794250935627385,
MACSJ0647.7+7015,Tx-M500,17,0.45586438817289465,0.23430273921479383,0.2676520571349662,-0.02224876433457973,0.10881946173021385,0.024561063860196283,0.0307243120570566,-0.00768901274586474,
MACSJ0647.7+7015,Lx-Tx,17,0.8331645227687465,0.5389208924265596,0.5306213146805674,0.07397721605650487,0.23507250628114829,0.04171421812417617,0.05597965923209214,0.00844286838090924,
MACSJ1206.2-0847,Lx-M500,17,0.9798846680093705,0.5593575480060524,0.5133438432120128,-0.10451704873315282,0.17515072037419266,0.04543881622432122,0.05406809760442255,0.005899581886029126,
MACSJ1206.2-0847,Tx-M500,17,0.4467678646822946,0.2829046735954101,0.2987333829183469,-0.03134528782517976,0.1224146963367598,0.026684638240272576,0.03262546726886245,0.00590622186068121,
MACSJ1206.2-0847,Lx-Tx,17,0.6904775274090336,0.43935957865018804,0.4584971277800858,-0.0687097793032081,0.2250621075667416,0.03626904635664416,0.053283319373828186,-0.0015675303334974355,
