cluster_key,config_key,cluster_name,z,nH_1e22,M500_1e14_msun,R500_arcsec,R500_Mpc,Tx_keV,Tx_err_lo,Tx_err_hi,abundance_solar,apec_norm,Lx_bol_1e44_erg_s,Lx_soft_1e44_erg_s,flux_bol_1e12_erg_s_cm2,rstat,qval,dof,n_src_spec,n_ann_spec,R_EM,annulus_rstat,accept_Tx_keV,accept_Lx_1e44_erg_s,ratio_Tx_accept,method,xrb_policy,abundance_policy,fit_band,qa_flags,quality,exclude_from_main_scaling,exclude_reason,spectral_status,status,pipeline_notes,result_json
Abell_0209,Abell_0209,Abell 0209,0.2060,0.0165,12.34286,451.1,1.5232,8.05366185506,-0.481946878522,0.535522601389,0.3,0.0118376198922,19.2169966535,5.49020367438,15.6515249907,0.932318114241,0.83990531666,431,1,1,0.0186315105363,1.12911530365,8.28,11,0.972664475249,blank_sky_XRB_heRenorm,fixed_shape,fixed,0.7-7,,good,False,,done,done,"T_X=8.05 (ACCEPT=8.28, 0.97x) rstat=0.93; blank-sky XRB fixed_shape",output/products/spectral/Abell_0209_results.json
Abell_0068,Abell_0068,Abell 0068,0.2546,0.0165,6.828571,310.1,1.2287,11.900070201,1.275,1.588,0.3,0.00691166467039,18.339677475,4.49580811142,9.25990027216,1.11759164845,0.0461434597761,430,1,1,0.001,1.02159386734,7.99,12.8,1.48937048823,blank_sky_XRB_heRenorm,flexible,fixed,0.7-7,,acceptable,False,,done,done,"T_X=11.90 (ACCEPT=7.99, 1.49x) rstat=1.12; blank-sky XRB flexible test; single ObsID limit; little change vs fixed_shape",output/products/spectral/Abell_0068_results.json
Abell_0267,Abell_0267,Abell 0267,0.2300,0.0165,5.6,315.8,1.1604,8.9009153216,-0.526082203425,0.578256475279,0.3,0.00653461911188,13.447839171,3.68066000776,8.54908404112,0.947193961081,0.778298309334,431,1,1,0.001,1.25859650992,6.79,8.7,1.31088590892,blank_sky_XRB_heRenorm,fixed_shape,fixed,0.7-7,,acceptable,False,,done,done,"T_X=8.90 (ACCEPT=6.79, 1.31x) rstat=0.95; blank-sky XRB",output/products/spectral/Abell_0267_results.json
Abell_0383,Abell_0383,Abell 0383,0.1870,0.0165,5.2,367.4,1.1496,4.72325203708,-0.0927431529364,0.0927431529364,0.3,0.00813373134603,9.08929821582,3.32975137789,9.18621030794,1.18650541536,3.46893913681e-06,1297,3,3,0.0578997270131,1.35412431264,3.93,5.39,1.20184530205,blank_sky_XRB_heRenorm,fixed_shape,fixed,0.7-7,,acceptable,False,,done,done,"T_X=4.72 (ACCEPT=3.93, 1.20x) rstat=1.19; blank-sky XRB; 3/3 ObsIDs; CALDB fixed",output/products/spectral/Abell_0383_results.json
Abell_0586,Abell_0586,Abell 0586,0.1710,0.0165,7.2,442.5,1.2885,8.10149561389,-0.35876643275,0.382488135919,0.3,0.0100545002593,11.4067789937,3.2666825908,14.0543570629,1.03687922318,0.21967695204,864,2,2,0.233509413361,3.22933658106,8.7,8.61,0.931206392401,blank_sky_XRB_heRenorm,fixed_shape,fixed,0.7-7,,good,False,,done,done,"T_X=8.10 (ACCEPT=8.70, 0.93x) rstat=1.04; blank-sky XRB; 2/9 ObsIDs; CALDB fixed",output/products/spectral/Abell_0586_results.json
Abell_0611,Abell_0611,Abell 0611,0.2880,0.0165,9.1,308.5,1.3356,12.8718858023,-0.840468204774,1.3134289779,0.3,0.00504419757854,17.1775059667,4.06900601868,6.54179726358,1.03577034793,0.29404202657,431,1,1,0.001,1.07458302377,6.69,10.9,1.9240486999,blank_sky_XRB_heRenorm,fixed_shape,fixed,0.7-7,,high,False,,done,done,"T_X=12.87 (ACCEPT=6.69, 1.92x) rstat=1.04; blank-sky XRB; ACIS-S single ObsID; CALDB fixed",output/products/spectral/Abell_0611_results.json
Abell_0697,Abell_0697,Abell 0697,0.2820,0.0165,18.77143,399.5,1.704,62.920783245,1.422,0.976,0.3,0.0129706893692,40.325981263,6.83980082851,16.1186055605,5.33592258477,0.9271,864,2,2,0.01,237.94707316,9.06,26.3,6.94489881291,blank_sky_XRB_heRenorm,fixed_shape,fixed,0.7-7,,bad,True,"T_X=62.92 (ACCEPT=9.06, 6.94x) rstat=5.34; full 2/2 ObsIDs failed; ObsID 532 drives poor fit; prefer prior 4217-only result for now",bad,done,"T_X=62.92 (ACCEPT=9.06, 6.94x) rstat=5.34; full 2/2 ObsIDs failed; ObsID 532 drives poor fit; prefer prior 4217-only result for now",output/products/spectral/Abell_0697_results.json
Abell_0750,Abell_0750,Abell 0750,0.1630,0.0165,4.528571,395.3,1.1071,6.51942952828,,,0.3,0.016405151431,15.9184646165,4.99931920415,21.7976997778,3.01881368387,1.2662033056e-173,861,2,2,0.0947985104805,1.26734246159,,N/A,,blank_sky_XRB_heRenorm,fixed_shape,fixed,0.7-7,,bad,True,T_X=6.52 rstat=3.02; blank-sky XRB; 2/2 ObsIDs; poor fit (early data); exclude from main scaling,bad,done,T_X=6.52 rstat=3.02; blank-sky XRB; 2/2 ObsIDs; poor fit (early data); exclude from main scaling,output/products/spectral/Abell_0750_results.json
Abell_2261,Abell_2261,Abell 2261,0.2240,0.0165,15.65,454.8,1.6381,8.3485772881,-0.298177952155,0.314703412788,0.3,0.0123256476552,23.7262383371,6.66959583669,16.0099720159,1.08283110419,0.11381783132,431,1,1,0.001,0.991565775517,7.58,17.6,1.10139542059,blank_sky_XRB_heRenorm,fixed_shape,fixed,0.7-7,,good,False,,done,done,"T_X=8.35 (ACCEPT=7.58, 1.10x) rstat=1.08; blank-sky XRB; partial ObsID (1/4)",output/products/spectral/Abell_2261_results.json
MACSJ0329.7-0211,MACSJ0329_7_0211,MACSJ0329.7-0211,0.4500,0.0165,6.51,195,1.1228,7.191112177,-0.263049593014,0.288821813859,0.3,0.00410911140703,27.5846966847,8.13592254057,3.69552001515,1.11526901932,0.00233068790788,1285,3,3,0.001,1.11965455602,6.85,13,1.0497973981,blank_sky_XRB_heRenorm,fixed_shape,fixed,0.7-7,low_q_value,good,False,,done,done,"T_X=7.19 (ACCEPT=6.85, 1.05x); blank-sky XRB; partial ObsID (3/4)",output/products/spectral/MACSJ0329_7_0211_results.json
