cluster_key,config_key,cluster_name,z,nH_1e22,M500_1e14_msun,M500_err_lo,M500_err_hi,M500_err_source,M500_err_note,R500_arcsec,R500_Mpc,R500_err_lo,R500_err_hi,R500_err_source,aperture_label,source_inner_r500,source_outer_r500,Tx_keV,Tx_err_lo,Tx_err_hi,abundance_solar,apec_norm,Lx_bol_1e44_erg_s,Lx_bol_err_lo,Lx_bol_err_hi,Lx_soft_1e44_erg_s,Lx_soft_err_lo,Lx_soft_err_hi,Lx_uncertainty_method,Lx_uncertainty_flag,flux_bol_1e12_erg_s_cm2,rstat,qval,dof,n_src_spec,n_ann_spec,R_EM,annulus_rstat,accept_Tx_keV,accept_Lx_1e44_erg_s,ratio_Tx_accept,method,xrb_policy,abundance_policy,fit_band,qa_flags,quality,exclude_from_main_scaling,exclude_reason,spectral_status,status,pipeline_notes,result_json
Abell_0209,Abell_0209,Abell 0209,0.2060,0.0165,12.342857,1.5,1.642857,Okabe+2016 Table 2,LoCuSS M500 converted from 8.64 -1.05/+1.15 1e14 h^-1 Msun by dividing by h=0.7,451.100818073,1.52321921115,18.2737602029,20.0141165771,propagated_from_M500_err; delta_R500/R500=(1/3)delta_M500/M500,core_excised_0.15_1.0R500,0.15,1,8.74222019613,,,0.3,0.00679482043106,11.2635233388,0.231275545656,0.218568014432,3.11469050986,0.0449496056271,0.0460495054723,sherpa.sample_energy_flux,,9.17371846385,1.14637295836,0.00174325180478,864,2,2,0.0186315105363,1.06243592008,8.28,11,1.05582369518,blank_sky_XRB_heRenorm,fixed_shape,fixed,0.7-7,low_q_value,good,False,,done,done,"T_X=8.05 (ACCEPT=8.28, 0.97x) rstat=0.93; blank-sky XRB fixed_shape",output/products/spectral/core_excised/Abell_0209_results.json
Abell_0068,Abell_0068,Abell 0068,0.2546,0.0165,6.828571,1.014286,1.114286,Okabe+2016 Table 2,LoCuSS M500 converted from 4.78 -0.71/+0.78 1e14 h^-1 Msun by dividing by h=0.7,310.064843692,1.2287220007,15.3518908543,16.8654571319,propagated_from_M500_err; delta_R500/R500=(1/3)delta_M500/M500,core_excised_0.15_1.0R500,0.15,1,11.1897892142,,,0.3,0.00532959813538,13.9935157384,0.465633091374,0.360468416798,3.50372351352,0.100686589901,0.103308922063,sherpa.sample_energy_flux,,7.06547649876,1.02043713209,0.374352663043,430,1,1,0.001,1.02208745971,7.99,12.8,1.40047424458,blank_sky_XRB_heRenorm,flexible,fixed,0.7-7,xrb_shapes_freed_compare_aic_bic_before_adopting,acceptable,False,,done,done,"T_X=11.90 (ACCEPT=7.99, 1.49x) rstat=1.12; blank-sky XRB flexible test; single ObsID limit; little change vs fixed_shape",output/products/spectral/core_excised/Abell_0068_results.json
Abell_0267,Abell_0267,Abell 0267,0.2300,0.0165,5.6,0.842857,0.914286,Okabe+2016 Table 2,LoCuSS M500 converted from 3.92 -0.59/+0.64 1e14 h^-1 Msun by dividing by h=0.7,315.822712645,1.16042901241,15.8448442924,17.1876359913,propagated_from_M500_err; delta_R500/R500=(1/3)delta_M500/M500,core_excised_0.15_1.0R500,0.15,1,8.77285051739,,,0.3,0.00353173276435,7.24265571204,0.17900055471,0.168196028446,1.99361089183,0.0357981208989,0.0346279452337,sherpa.sample_energy_flux,,4.60431386604,1.03025322422,0.222288858471,1258,4,4,0.001,1.41315233288,6.79,8.7,1.29202511302,blank_sky_XRB_heRenorm,fixed_shape,fixed,0.7-7,,acceptable,False,,done,done,"T_X=8.90 (ACCEPT=6.79, 1.31x) rstat=0.95; blank-sky XRB",output/products/spectral/core_excised/Abell_0267_results.json
Abell_0383,Abell_0383,Abell 0383,0.1870,0.0165,5.2,0.857143,0.928571,Okabe+2016 Table 2,LoCuSS M500 converted from 3.64 -0.60/+0.65 1e14 h^-1 Msun by dividing by h=0.7,367.392143263,1.14959374666,20.1863848624,21.868569863,propagated_from_M500_err; delta_R500/R500=(1/3)delta_M500/M500,core_excised_0.15_1.0R500,0.15,1,5.95355154743,,,0.3,0.00265440018872,3.25203467576,0.0710321859093,0.0679113688144,1.06338599272,0.0117129949644,0.0126750649926,sherpa.sample_energy_flux,,3.28670858309,1.17067895853,1.79395014372e-05,1296,3,3,0.0578997270131,1.1367317837,3.93,5.39,1.51489861258,blank_sky_XRB_heRenorm,fixed_shape,fixed,0.7-7,low_q_value,high,False,,done,done,"T_X=4.72 (ACCEPT=3.93, 1.20x) rstat=1.19; blank-sky XRB; 3/3 ObsIDs; CALDB fixed",output/products/spectral/core_excised/Abell_0383_results.json
Abell_0586,Abell_0586,Abell 0586,0.1710,0.0165,7.2,1.4,1.6,Okabe+2016 Table 2,LoCuSS M500 converted from 5.04 -0.98/+1.12 1e14 h^-1 Msun by dividing by h=0.7,442.491065634,1.28850384796,28.6799764763,32.7771159729,propagated_from_M500_err; delta_R500/R500=(1/3)delta_M500/M500,core_excised_0.15_1.0R500,0.15,1,7.61696447871,,,0.3,0.00464755712056,5.18651460743,0.137986830279,0.124926132805,1.52270758451,0.0247584163681,0.0251768591558,sherpa.sample_energy_flux,,6.39033405005,1.08974761067,0.0337569627468,864,2,2,0.233509413361,1.19525342656,8.7,8.61,0.875513158472,blank_sky_XRB_heRenorm,fixed_shape,fixed,0.7-7,,good,False,,done,done,"T_X=8.10 (ACCEPT=8.70, 0.93x) rstat=1.04; blank-sky XRB; 2/9 ObsIDs; CALDB fixed",output/products/spectral/core_excised/Abell_0586_results.json
Abell_0611,Abell_0611,Abell 0611,0.2880,0.0165,9.1,1.557143,1.671429,Okabe+2016 Table 2,LoCuSS M500 converted from 6.37 -1.09/+1.17 1e14 h^-1 Msun by dividing by h=0.7,308.505627267,1.33561675756,17.5966072512,18.8881044717,propagated_from_M500_err; delta_R500/R500=(1/3)delta_M500/M500,core_excised_0.15_1.0R500,0.15,1,29.2321331695,,,0.3,0.00270072118407,9.46887852377,0.368019750738,0.380787931316,1.81572679255,0.105701983782,0.12109567747,sherpa.sample_energy_flux,,3.60608133311,0.946462849054,0.781594344559,431,1,1,0.001,1.07474751956,6.69,10.9,4.36952663222,blank_sky_XRB_heRenorm,fixed_shape,fixed,0.7-7,very_high_temperature,high,False,,done,done,"T_X=12.87 (ACCEPT=6.69, 1.92x) rstat=1.04; blank-sky XRB; ACIS-S single ObsID; CALDB fixed",output/products/spectral/core_excised/Abell_0611_results.json
Abell_0697,Abell_0697,Abell 0697,0.2820,,7.7,1.428571,1.542857,Okabe+2016 Table 2,Corrects prior config value that used M180m; LoCuSS M500 converted from 5.39 -1.00/+1.08 1e14 h^-1 Msun by dividing by h=0.7,296.819489161,1.26608855431,18.3561781147,19.8246764757,propagated_from_M500_err; delta_R500/R500=(1/3)delta_M500/M500,core_excised_0.15_1.0R500,,,,,,,,,,,,,,missing,lx_uncertainty_unavailable,,,,,,,,,9.06,26.3,,,,,,,bad,True,"T_X=62.92 (ACCEPT=9.06, 6.94x) rstat=5.34; full 2/2 ObsIDs failed; ObsID 532 drives poor fit; prefer prior 4217-only result for now",bad,missing_result,"T_X=62.92 (ACCEPT=9.06, 6.94x) rstat=5.34; full 2/2 ObsIDs failed; ObsID 532 drives poor fit; prefer prior 4217-only result for now",
Abell_0750,Abell_0750,Abell 0750,0.1630,,6.157143,1.357143,1.714286,Okabe+2016 Table 2,Corrects prior config value that used M1000; LoCuSS M500 converted from 4.31 -0.95/+1.20 1e14 h^-1 Msun by dividing by h=0.7,437.961633638,1.22642465918,32.1781582443,40.6460971202,propagated_from_M500_err; delta_R500/R500=(1/3)delta_M500/M500,core_excised_0.15_1.0R500,,,,,,,,,,,,,,missing,lx_uncertainty_unavailable,,,,,,,,,,N/A,,,,,,,bad,True,T_X=6.52 rstat=3.02; blank-sky XRB; 2/2 ObsIDs; poor fit (early data); exclude from main scaling,bad,missing_result,T_X=6.52 rstat=3.02; blank-sky XRB; 2/2 ObsIDs; poor fit (early data); exclude from main scaling,
Abell_2261,Abell_2261,Abell 2261,0.2240,0.0165,15.65,3.05,3.05,Umetsu+2016 Table 3,CLASH M500c in 1e14 Msun physical units h=0.7,454.838378106,1.6380698098,29.5475410697,29.5475410697,propagated_from_M500_err; delta_R500/R500=(1/3)delta_M500/M500,core_excised_0.15_1.0R500,0.15,1,11.3027391326,,,0.3,0.00513857664749,10.5559612851,0.0939776175853,0.0939324837161,2.65105810526,0.023041782087,0.0240333188066,sherpa.sample_energy_flux,,7.12294306302,1.13236867991,9.03142572754e-05,1730,4,4,0.001,1.24243001153,7.58,17.6,1.49112653464,blank_sky_XRB_heRenorm,fixed_shape,fixed,0.7-7,low_q_value,acceptable,False,,done,done,"T_X=8.35 (ACCEPT=7.58, 1.10x) rstat=1.08; blank-sky XRB; partial ObsID (1/4)",output/products/spectral/core_excised/Abell_2261_results.json
MACSJ0329.7-0211,MACSJ0329_7_0211,MACSJ0329.7-0211,0.4500,0.0165,6.51,1.37,1.37,Umetsu+2016 Table 3,CLASH M500c in 1e14 Msun physical units h=0.7,194.957467309,1.12284336884,13.6759718491,13.6759718491,propagated_from_M500_err; delta_R500/R500=(1/3)delta_M500/M500,core_excised_0.15_1.0R500,0.15,1,11.5807702829,,,0.3,0.00154535300342,11.9369985726,0.382478362148,0.301138068407,2.84815740605,0.0767450336942,0.0789811832565,sherpa.sample_energy_flux,,1.59919891996,1.08508785741,0.00821012453542,1664,4,4,0.001,1.39256217024,6.85,13,1.69062339896,blank_sky_XRB_heRenorm,fixed_shape,fixed,0.7-7,low_q_value,high,False,,done,done,"T_X=7.19 (ACCEPT=6.85, 1.05x); blank-sky XRB; partial ObsID (3/4)",output/products/spectral/core_excised/MACSJ0329_7_0211_results.json
