cluster_key,cluster_name,z,nH_1e22,M500_1e14_msun,R500_arcsec,R500_Mpc,Tx_keV,Tx_err_lo,Tx_err_hi,abundance_solar,apec_norm,Lx_bol_1e44_erg_s,Lx_soft_1e44_erg_s,flux_bol_1e12_erg_s_cm2,rstat,qval,dof,n_src_spec,n_ann_spec,R_EM,annulus_rstat,accept_Tx_keV,accept_Lx_1e44_erg_s,ratio_Tx_accept,method,xrb_policy,fit_band,qa_flags,status
Abell_0209,Abell 0209,0.2060,,12.34,451.1,1.5232,8.054,0.482,0.536,0.300,1.183762e-02,19.217,5.490,15.652,0.932,0.8399,431,1,1,0.0186,1.129,8.28,11.00,0.973,blank_sky_XRB_heRenorm,fixed_shape,0.7-7,,done
Abell_0068,Abell 0068,0.2546,,6.83,310.1,1.2287,12.017,1.275,1.588,0.300,6.900416e-03,18.340,4.481,9.260,1.116,0.0482,430,1,1,0.0010,1.014,7.99,12.80,1.504,blank_sky_XRB_heRenorm,fixed_shape,0.7-7,,done
Abell_0267,Abell 0267,0.2300,,5.60,315.8,1.1604,8.901,0.526,0.578,0.300,6.534619e-03,13.448,3.681,8.549,0.947,0.7783,431,1,1,0.0010,1.259,6.79,8.70,1.311,blank_sky_XRB_heRenorm,fixed_shape,0.7-7,,done
Abell_0383,Abell 0383,0.1870,,5.20,367.4,1.1496,,,,,,,,,,,,,,,,3.93,5.39,,,,,,failed_CALDB
Abell_0586,Abell 0586,0.1710,,7.20,442.5,1.2885,,,,,,,,,,,,,,,,8.70,8.61,,,,,,failed_CALDB
Abell_0611,Abell 0611,0.2880,,9.10,308.5,1.3356,,,,,,,,,,,,,,,,6.69,10.90,,,,,,failed_CALDB
Abell_0697,Abell 0697,0.2820,,18.77,399.5,1.7040,14.264,1.422,0.976,0.300,1.175857e-02,38.253,8.854,15.290,0.903,0.9271,431,1,1,0.0100,1.073,9.06,26.30,1.574,blank_sky_XRB_heRenorm,fixed_shape,0.7-7,,done
Abell_0750,Abell 0750,0.1630,,4.53,395.3,1.1071,,,,,,,,,,,,,,,,,,,,,,,failed_CALDB
Abell_2261,Abell 2261,0.2240,,15.65,454.8,1.6381,8.349,0.298,0.315,0.300,1.232565e-02,23.726,6.670,16.010,1.083,0.1138,431,1,1,0.0010,0.992,7.58,17.60,1.101,blank_sky_XRB_heRenorm,fixed_shape,0.7-7,,done
MACSJ0329.7-0211,MACSJ0329.7-0211,0.4500,,6.51,195.0,1.1228,7.191,0.263,0.289,0.300,4.109111e-03,27.585,8.136,3.696,1.115,0.0023,1285,3,3,0.0010,1.120,6.85,13.00,1.050,blank_sky_XRB_heRenorm,fixed_shape,0.7-7,low_q_value,done
MACSJ0429.6-0253,MACSJ0429.6-0253,0.3990,,6.85,217.1,1.1649,6.433,0.343,0.368,0.300,4.075149e-03,21.140,6.605,3.767,0.967,0.6799,429,1,1,0.1120,1.085,6.76,11.70,0.952,blank_sky_XRB_heRenorm,fixed_shape,0.7-7,,done
MACSJ0647.7+7015,MACSJ0647.7+7015,0.5840,,9.49,182.9,1.2075,16.942,1.969,2.650,0.300,3.195649e-03,41.695,8.519,2.986,1.149,0.0015,858,2,2,0.0242,0.949,9.07,26.70,1.868,blank_sky_XRB_heRenorm,fixed_shape,0.7-7,low_q_value,done
MACSJ0744.9+3927,MACSJ0744.9+3927,0.6860,,11.94,176.6,1.2517,10.150,0.555,0.601,0.300,2.714019e-03,42.525,10.427,2.058,1.060,0.0659,1283,3,3,0.0059,1.024,11.29,24.90,0.899,blank_sky_XRB_heRenorm,fixed_shape,0.7-7,,done
MACSJ1115.9+0129,MACSJ1115.9+0129,0.3520,,10.67,277.3,1.3749,8.924,0.526,0.579,0.300,7.232866e-03,33.305,8.957,7.966,0.983,0.5914,431,1,1,0.1293,1.384,9.26,1.49,0.964,blank_sky_XRB_heRenorm,fixed_shape,0.7-7,,done
MACSJ1206.2-0847,MACSJ1206.2-0847,0.4400,,12.24,244.7,1.3913,12.893,0.531,1.682,0.300,7.029725e-03,53.259,12.217,7.527,1.060,0.1877,431,1,1,0.0435,1.060,7.88,37.30,1.636,blank_sky_XRB_heRenorm,fixed_shape,0.7-7,,done
MACSJ1720.3+3536,MACSJ1720.3+3536,0.3910,,9.96,249.8,1.3238,7.317,0.466,0.496,0.300,4.455496e-03,23.381,6.855,4.370,1.106,0.0640,431,1,1,0.1976,1.030,5.65,13.10,1.295,blank_sky_XRB_heRenorm,fixed_shape,0.7-7,,done
MACSJ1931.8-2635,MACSJ1931.8-2635,0.3520,,10.51,275.9,1.3680,7.385,0.335,0.380,0.300,9.161941e-03,39.808,11.649,9.521,1.110,0.0576,430,1,1,0.1097,0.990,7.50,23.40,0.985,blank_sky_XRB_heRenorm,fixed_shape,0.7-7,,done
MS2137-2353,MS2137-2353,0.3130,,8.28,279.6,1.2822,,,,,,,,,,,,,,,,6.30,11.40,,,,,,failed_CALDB
