cluster_key,z,Tx_keV,Tx_err_lo,Tx_err_hi,accept_Tx,ratio,rstat,qval,Lx_bol,r_em,n_spectra,annulus_rstat,qa_flags,status
Abell_0209,0.206,8.053661855062828,-0.48194687852172535,0.5355226013891698,8.28,0.9726644752491338,0.9323181142406066,0.8399053166598205,1.9216996653530393e+45,0.0186315105363,1,1.1291153036481858,[],done
Abell_0068,0.2546,12.01712816398318,-1.2754436307734291,1.5880830220531,7.99,1.5040210468064055,1.1160815829600852,0.04816803575913031,1.8339574166899594e+45,0.001,1,1.0142027698264517,[],done
Abell_0267,0.23,8.900915321595834,-0.5260822034252843,0.5782564752785326,6.79,1.310885908924276,0.9471939610811229,0.7782983093339998,1.3447839170954737e+45,0.001,1,1.2585965099224068,[],done
Abell_0383,0.187,,,,3.93,,,,,,,,,error
Abell_0586,0.171,,,,8.7,,,,,,,,,error
Abell_0611,0.288,,,,6.69,,,,,,,,,error
Abell_0697,0.282,14.264262677478197,-1.4218791463157245,0.9764662786897045,9.06,1.5744219290814785,0.9027047645258242,0.9271002762080085,3.8253017808619634e+45,0.01,1,1.0733782799520646,[],done
Abell_0750,0.163,,,,,,,,,,,,,error
Abell_2261,0.224,8.348577288104085,-0.29817795215502585,0.3147034127882975,7.58,1.1013954205942065,1.082831104189005,0.11381783131958839,2.3726238337141573e+45,0.001,1,0.9915657755171365,[],done
MACSJ0329.7-0211,0.45,7.19,,,6.85,1.0496350364963505,,,,,,,,done
MACSJ0429.6-0253,0.399,6.43,,,6.76,0.9511834319526628,,,,,,,,done
MACSJ0647.7+7015,0.584,16.94,,,9.07,1.8676957001102537,,,,,,,,done
MACSJ0744.9+3927,0.686,10.15,,,11.29,0.8990256864481844,,,,,,,,done
MACSJ1115.9+0129,0.352,8.92,,,9.26,0.9632829373650108,,,,,,,,done
MACSJ1206.2-0847,0.44,12.89,,,7.88,1.635786802030457,,,,,,,,done
MACSJ1720.3+3536,0.391,7.32,,,5.65,1.295575221238938,,,,,,,,done
MACSJ1931.8-2635,0.352,7.39,,,7.5,0.9853333333333333,,,,,,,,done
MS2137-2353,0.313,,,,6.3,,,,,,,,,error
RXJ1347.5-1145,0.451,16.39,,,10.88,1.5064338235294117,,,,,,,,done
RXJ1532.9+3021,0.363,5.86,,,5.44,1.0772058823529411,,,,,,,,done
RXJ2129.7+0005,0.234,,,,6.1,,,,,,,,,error
RXJ2248.7-4431,0.348,12.15,,,11.1,1.0945945945945947,,,,,,,,done
ZwCl_0857.9+2107,0.235,,,,12.1,,,,,,,,,error
