cluster_key,quality,excluded_from_exclude_bad,Tx_keV,rstat,qval,ratio_Tx_accept,qa_flags
Abell_0209,good,False,8.054,0.932,0.8399,0.973,
Abell_0068,high,False,12.017,1.116,0.0482,1.504,
Abell_0267,acceptable,False,8.901,0.947,0.7783,1.311,
Abell_0383,acceptable,False,4.723,1.187,0.0000,1.202,
Abell_0586,good,False,8.101,1.037,0.2197,0.931,
Abell_0611,high,False,12.872,1.036,0.2940,1.924,
Abell_0697,high,False,14.264,0.903,0.9271,1.574,
Abell_0750,bad,True,6.519,3.019,0.0000,,
Abell_2261,good,False,8.349,1.083,0.1138,1.101,
MACSJ0329.7-0211,good,False,7.191,1.115,0.0023,1.050,low_q_value
MACSJ0429.6-0253,good,False,6.433,0.967,0.6799,0.952,
MACSJ0647.7+7015,high,False,16.942,1.149,0.0015,1.868,low_q_value
MACSJ0744.9+3927,good,False,10.150,1.060,0.0659,0.899,
MACSJ1115.9+0129,good,False,8.924,0.983,0.5914,0.964,
MACSJ1206.2-0847,high,False,12.893,1.060,0.1877,1.636,
MACSJ1720.3+3536,acceptable,False,7.317,1.106,0.0640,1.295,
MACSJ1931.8-2635,good,False,7.385,1.110,0.0576,0.985,
MS2137-2353,bad,True,63.242,14.001,,10.038,
RXJ1347.5-1145,high,False,16.391,1.252,0.0003,1.507,low_q_value
RXJ1532.9+3021,good,False,5.864,0.967,0.6798,1.078,
RXJ2129.7+0005,good,False,6.844,1.153,0.0011,1.122,
RXJ2248.7-4431,good,False,12.149,1.064,0.1711,1.095,
ZwCl_0857.9+2107,bad,True,4.675,1.130,0.0045,0.386,
