cluster_key,cluster_name,ra_deg,dec_deg,redshift,m500_input,m500_unit,m500_physical_msun_h70,obsids,aliases,center_source,redshift_mass_source
Abell_383,Abell 383,42.01413120,-3.52923000,0.1870,5.880000e+14,Msun,5.880000e+14,524;2320;2321,ACO 383; ABELL 383; Abell 0383,chandra_data_evt/manifest.csv Sesame-resolved center,CLASH Table 1 z and Umetsu et al. CLASH lensing M500c Table 3
Abell_209,Abell 209,22.97030000,-13.61470000,0.2060,9.640000e+14,Msun,9.640000e+14,3579;522,ACO 209; ABELL 209; Abell 0209,chandra_data_evt/manifest.csv Sesame-resolved center,CLASH Table 1 z and Umetsu et al. CLASH lensing M500c Table 3
Abell_2261,Abell 2261,260.61200000,32.13280000,0.2240,1.565000e+15,Msun,1.565000e+15,550;20413;21960;5007,ACO 2261; ABELL 2261,chandra_data_evt/manifest.csv Sesame-resolved center,CLASH Table 1 z and Umetsu et al. CLASH lensing M500c Table 3
RXJ2129_7_0005,RXJ2129.7+0005,322.41875000,0.09638889,0.2340,4.480000e+14,Msun,4.480000e+14,9370;552,RX J2129.7+0005; RXCJ2129.7+0005,chandra_data_evt/manifest.csv Sesame-resolved center,CLASH Table 1 z and Umetsu et al. CLASH lensing M500c Table 3
Abell_611,Abell 611,120.24458333,36.04694444,0.2880,1.073000e+15,Msun,1.073000e+15,3194,ACO 611; ABELL 611; Abell 0611,chandra_data_evt/manifest.csv Sesame-resolved center,CLASH Table 1 z and Umetsu et al. CLASH lensing M500c Table 3
MS2137_2353,MS2137-2353,325.05333333,-23.65750000,0.3130,8.280000e+14,Msun,8.280000e+14,4974;5250;928,MS 2137-2353; MS 2137.3-2353,chandra_data_evt/manifest.csv Sesame-resolved center,CLASH Table 1 z and Umetsu et al. CLASH lensing M500c Table 3
RXJ2248_7_4431,RXJ2248.7-4431,342.18900000,-44.52820000,0.3480,1.245000e+15,Msun,1.245000e+15,18611;18818;4966,RXCJ2248.7-4431; Abell S1063; AS1063,chandra_data_evt/manifest.csv Sesame-resolved center,CLASH Table 1 z and Umetsu et al. CLASH lensing M500c Table 3
MACSJ1115_9_0129,MACSJ1115.9+0129,168.96626000,1.49863000,0.3520,1.067000e+15,Msun,1.067000e+15,9375;3275,MACS J1115.9+0129; MACS J1115.8+0129,chandra_data_evt/manifest.csv Sesame-resolved center,CLASH Table 1 z and Umetsu et al. CLASH lensing M500c Table 3
MACSJ1931_8_2635,MACSJ1931.8-2635,292.95000000,-26.58333300,0.3520,1.051000e+15,Msun,1.051000e+15,9382;3282,MACS J1931.8-2634; MACS J1931.8-2635,chandra_data_evt/manifest.csv Sesame-resolved center,CLASH Table 1 z and Umetsu et al. CLASH lensing M500c Table 3
RXJ1532_9_3021,RXJ1532.9+3021,233.22408200,30.34983600,0.3630,4.170000e+14,Msun,4.170000e+14,14009;1649;1665,RX J1532.9+3021,chandra_data_evt/manifest.csv Sesame-resolved center,CLASH Table 1 z and Umetsu et al. CLASH lensing M500c Table 3
MACSJ1720_3_3536,MACSJ1720.3+3536,260.06989000,35.60736000,0.3910,9.960000e+14,Msun,9.960000e+14,3280;6107;7225;7718,MACS J1720.3+3536,chandra_data_evt/manifest.csv Sesame-resolved center,CLASH Table 1 z and Umetsu et al. CLASH lensing M500c Table 3
MACSJ0429_6_0253,MACSJ0429.6-0253,67.39980000,-2.88505800,0.3990,6.850000e+14,Msun,6.850000e+14,3271,MACS J0429.6-0253,chandra_data_evt/manifest.csv Sesame-resolved center,CLASH Table 1 z and Umetsu et al. CLASH lensing M500c Table 3
MACSJ1206_2_0847,MACSJ1206.2-0847,181.54991000,-8.80001000,0.4400,1.224000e+15,Msun,1.224000e+15,3277;20544;20929;21078;21079;21081,MACS J1206.2-0847,chandra_data_evt/manifest.csv Sesame-resolved center,CLASH Table 1 z and Umetsu et al. CLASH lensing M500c Table 3
MACSJ0329_7_0211,MACSJ0329.7-0211,52.42000000,-2.19833300,0.4500,6.510000e+14,Msun,6.510000e+14,3582;6108;7719;3257,MACS J0329.7-0211,chandra_data_evt/manifest.csv Sesame-resolved center,CLASH Table 1 z and Umetsu et al. CLASH lensing M500c Table 3
RXJ1347_5_1145,RXJ1347.5-1145,206.87700000,-11.75190000,0.4510,2.233000e+15,Msun,2.233000e+15,3592;13999;14407;506;507;2222;13516,RX J1347.5-1145; RXCJ1347.5-1145,chandra_data_evt/manifest.csv Sesame-resolved center,CLASH Table 1 z and Umetsu et al. CLASH lensing M500c Table 3
MACSJ0744_9_3927,MACSJ0744.9+3927,116.21862500,39.45759400,0.6860,1.194000e+15,Msun,1.194000e+15,3197;6111;3585,MACS J0744.9+3927,chandra_data_evt/manifest.csv Sesame-resolved center,CLASH Table 1 z and Umetsu et al. CLASH lensing M500c Table 3
